website,class from llm,class from me
servicos.acesso.gov.br,1,1
hermesoft.unipamplona.edu.co,1,1
campus.unla.edu.ar,1,1
gazette.education.govt.nz,1,1
www.even3.com.br,1,3
weather.yahoo.co.jp,1,2
services.sassa.gov.za,1,1
www.oficinavirtual.opcccss.fi.cr,1,1
busca.inpi.gov.br,1,1
www.cuitonline.com,1,1
www.demarches-simplifiees.fr,1,1
www.paclii.org,1,1
www.canadapost-postescanada.ca,1,3
portal.coou.edu.ng,1,1
www.rojgarresult.com,1,2
www.sinac.go.cr,1,1
apps3.ams-sga.cra-arc.gc.ca,1,1
farmacias.pagatodo.com.do,1,1
www.doubtnut.com,1,1
web.umang.gov.in,1,1
www.google.com.eg,1,3
pje1g.trf1.jus.br,1,1
www.waikato.ac.nz,1,1
y-jesus.com,1,2
smartkyc.ikejaelectric.com,1,3
campus.sigoestudiando.com,1,1
www.immigration.govt.nz,1,1
services.tdscpc.gov.in,1,1
www.rosario.gob.ar,1,1
www.clinicabiblica.com,1,1
www.wootit.com,1,3
moncompte.ants.gouv.fr,1,1
lms-courses.mercatorum.multiversity.click,1,1
www.ucm.es,1,1
www.twinkl.co.nz,1,1
dsiapes.uv.mx,1,1
tecnicoquiche.edu.gt,1,1
portal.kwarastatepolytechnic.edu.ng,1,1
viva1a.com.co,1,1
ine.mx,1,1
www.nosi.gov.eg,1,1
glearning.genesisempresarial.org,1,1
www.educationperfect.com,1,1
uvirtual.udv.edu.gt,1,1
wol.jw.org,1,1
www.educa.jcyl.es,1,1
moodle.pau.ac.pg,1,1
siiaa-alumnos.cbachilleres.edu.mx,1,1
www.metoffice.gov.uk,1,1
saralharyana.gov.in,1,1
ewaybillgst.gov.in,1,1
www.cupsolidale.it,1,1
cursos.alura.com.br,1,1
aula.lanaenlinea.com,1,1
www.ato.gov.au,1,1
terremoti.ingv.it,1,1
certificado.ministeriodeeducacion.gob.do,1,1
translate.google.co.id,1,3
pje1g.trf3.jus.br,1,1
www.education.gouv.fr,1,1
nzf.org.nz,1,1
www.mininterno.net,1,1
www.epiccare.ie,1,1
www.sa.gov.au,1,1
rap.pnc.gob.gt,1,1
micuenta.infonavit.org.mx,1,1
pedco.uncoma.edu.ar,1,1
joaobidu.com.br,1,2
rpngc.gov.pg,1,1
www.scribd.com,1,1
www.secop.gov.co,1,1
sigepiv1.inaipi.gob.do,1,1
www.bcrcorresponsal.bancobcr.com,1,1
sis.redsys.es,1,1
www.creditmutuel.fr,1,1
www.bancodeoccidente.com.co,1,1
www.ls-tc.de,1,1
www.ecobolsa.com,1,1
articles.moonlitfinance.com,1,1
www.bancodebogota.com,1,1
mnc.mizuho-sc.com,1,1
popularenlinea.com,1,1
medupi.com,1,1
www.xe.com,1,1
www.standardbank.co.za,1,1
www1.bb.com.br,1,1
wertpapiere.ing.de,1,1
onlinebanking.standardbank.co.za,1,1
planoscelular.claro.com.br,1,3
us.etrade.com,1,1
portal.bbva.mx,1,1
www.zonebourse.com,1,1
sekai-kabuka.com,1,1
www.sigma-cap.com,1,1
onlinebanking.huntington.com,1,1
online.bbva.com.ar,1,1
www.gtc.com.gt,1,1
m.klikbca.com,1,1
netbanking.hdfcbank.com,1,1
www.avalpaycenter.com,1,1
secure.etax.com.au,1,1
sgxnifty.org,1,1
money.kompas.com,1,1
trisonet.com,1,3
www.ocu.org,1,1
www.bancoazteca.com.mx,1,1
kite.zerodha.com,1,1
icorporate.zenithbank.com,1,1
www.hsbc.co.uk,1,1
www.aforeweb.com.mx,1,1
www.oldmutual.co.za,1,1
brimo.bri.co.id,1,1
www.sunnet.sunlife.com,1,1
www.paypal.com,1,1
www.simplic.com.br,1,1
www.visa.co.cr,1,1
www.wellsfargo.com,1,1
www.nationwide.co.uk,1,1
www.bmo.com,1,1
www.vancity.com,1,1
nbcpng.com.pg,1,1
mfe-onboarding-prod.lab.innovacion.banreservas.com,1,1
secure.scotiabank.com,1,1
www.midatacredito.com,1,1
www.claro.com.br,1,3
bmonline.banquemisr.com,1,1
nsls.nambawansuper.com.pg,1,1
money.tmx.com,1,1
www.avvillas.com.co,1,1
www.unionbankonline.co.in,1,1
www1.my.commbiz.commbank.com.au,1,1
member.rakuten-sec.co.jp,1,1
www.interbanco.com.gt,1,1
accounts-extra.sageone.com,1,3
admlink.visaenlink.gt,1,3
www.pngx.com.pg,1,1
www.abcbourse.com,1,1
c3.c3consig.com.br,1,1
www.visa.com.do,1,1
secured.nedbank.co.za,1,1
secure.royalbank.com,1,1
www.bca.co.id,1,1
sbi.co.in,1,1
www.synchrony.com,1,1
www.armarinhosaojose.com.br,3,3
www.estafeta.com,3,3
carro.blog.br,3,3
loteka.com.do,3,3
repuestosgigante.com,3,3
alajuela.wanuncios.com,3,3
www.atu.de,3,3
vinsolutions.app.coxautoinc.com,3,3
drive.google.com,3,3
www.pointtown.com,3,3
ca.indeed.com,3,3
www.pedidosya.com.ar,3,3
www.mistergadget.tech,3,3
articulo.mercadolibre.co.cr,3,3
www.sheetstreet.com,3,3
www.natura.com.br,3,3
www.ziprecruiter.com,3,3
www.microsoft.com,3,3
www.deine-tierwelt.de,3,3
m.jdsports.fr,3,3
order.ebay.com.au,3,3
ar.todomoda.com,3,3
tienda.comfama.com,3,3
freeip.me,3,3
www.croma.com,3,3
stepone.life,3,3
tixel.com,3,3
fr.shopping.rakuten.com,3,3
www.officedepot.com,3,3
